"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance"
"PP_Lomaka_40_Inga edulis","MDP0339","MDP0339.mzXML","ingedu","PP_Lomaka_40","Inga edulis","Fabaceae","Inga","PP_Lomaka_40_Inga edulis","PP_Lomaka_40","Inga edulis",1
"PP_Lomaka_40_Pouteria durlandii","MDP0380","MDP0380.mzXML","pou3dur","PP_Lomaka_40","Pouteria durlandii","Sapotaceae","Pouteria","PP_Lomaka_40_Pouteria durlandii","PP_Lomaka_40","Pouteria durlandii",1
"PP_Lomaka_40_Dendropanax williamsii","MDP0317","MDP0317.mzXML","den2wil","PP_Lomaka_40","Dendropanax williamsii","Araliaceae","Dendropanax","PP_Lomaka_40_Dendropanax williamsii","PP_Lomaka_40","Dendropanax williamsii",2
"PP_Lomaka_40_Miconia amnicola","MDP0353","MDP0353.mzXML","mic1amn","PP_Lomaka_40","Miconia amnicola","Melastomataceae","Miconia","PP_Lomaka_40_Miconia amnicola","PP_Lomaka_40","Miconia amnicola",3
"PP_Lomaka_40_Pouteria caimito","MDP0379","MDP0379.mzXML","pou3cai","PP_Lomaka_40","Pouteria caimito","Sapotaceae","Pouteria","PP_Lomaka_40_Pouteria caimito","PP_Lomaka_40","Pouteria caimito",9
"PP_Lomaka_40_Guatteria sanctae-crucis","MDP0328","MDP0328.mzXML","gua4san","PP_Lomaka_40","Guatteria sanctae-crucis","Annonaceae","Guatteria","PP_Lomaka_40_Guatteria sanctae-crucis","PP_Lomaka_40","Guatteria sanctae-crucis",1
"PP_Lomaka_40_Inga multinervis","MDP0340","MDP0340.mzXML","ingmul","PP_Lomaka_40","Inga multinervis","Fabaceae","Inga","PP_Lomaka_40_Inga multinervis","PP_Lomaka_40","Inga multinervis",1
"PP_Lomaka_40_Bathysa australis","MDP0309","MDP0309.mzXML","bat1aus","PP_Lomaka_40","Bathysa australis","Rubiaceae","Bathysa","PP_Lomaka_40_Bathysa australis","PP_Lomaka_40","Bathysa australis",1
"PP_Lomaka_40_Schizocalyx obovatus","MDP0394","MDP0394.mzXML","sch4obo","PP_Lomaka_40","Schizocalyx obovatus","Rubiaceae","Schizocalyx","PP_Lomaka_40_Schizocalyx obovatus","PP_Lomaka_40","Schizocalyx obovatus",23
"PP_Lomaka_40_Mouriri LC-4151A","MDP0359","MDP0359.mzXML","mou1LC4151A","PP_Lomaka_40","Mouriri LC-4151A","Melastomataceae","Mouriri","PP_Lomaka_40_Mouriri LC-4151A",NA,NA,NA
"PP_Lomaka_40_Matayba macrostylis","MDP0349","MDP0349.mzXML","mat1mac","PP_Lomaka_40","Matayba macrostylis","Sapindaceae","Matayba","PP_Lomaka_40_Matayba macrostylis","PP_Lomaka_40","Matayba macrostylis",5
"PP_Lomaka_40_Eugenia LC-6319","MDP0321","MDP0321.mzXML","eugLC6319","PP_Lomaka_40","Eugenia LC-6319","Myrtaceae","Eugenia","PP_Lomaka_40_Eugenia LC-6319",NA,NA,NA
"PP_Lomaka_40_Inga alba","MDP0336","MDP0336.mzXML","ingalb","PP_Lomaka_40","Inga alba","Fabaceae","Inga","PP_Lomaka_40_Inga alba","PP_Lomaka_40","Inga alba",3
"PP_Lomaka_40_Hevea guianensis","MDP0331","MDP0331.mzXML","hevgui","PP_Lomaka_40","Hevea guianensis","Euphorbiaceae","Hevea","PP_Lomaka_40_Hevea guianensis","PP_Lomaka_40","Hevea guianensis",56
"PP_Lomaka_40_Dacryodes sudyungasensis","MDP0316","MDP0316.mzXML","dacsud","PP_Lomaka_40","Dacryodes sudyungasensis","Burseraceae","Dacryodes","PP_Lomaka_40_Dacryodes sudyungasensis","PP_Lomaka_40","Dacryodes sudyungasensis",4
"PP_Lomaka_40_Miconia aureoides","MDP0354","MDP0354.mzXML","mic1aur","PP_Lomaka_40","Miconia aureoides","Melastomataceae","Miconia","PP_Lomaka_40_Miconia aureoides","PP_Lomaka_40","Miconia aureoides",2
"PP_Lomaka_40_Miconia dolichorrhyncha","MDP0357","MDP0357.mzXML","mic1dol","PP_Lomaka_40","Miconia dolichorrhyncha","Melastomataceae","Miconia","PP_Lomaka_40_Miconia dolichorrhyncha","PP_Lomaka_40","Miconia dolichorrhyncha",3
"PP_Lomaka_40_Mabea macbridei","MDP0346","MDP0346.mzXML","mabmac","PP_Lomaka_40","Mabea macbridei","Euphorbiaceae","Mabea","PP_Lomaka_40_Mabea macbridei","PP_Lomaka_40","Mabea macbridei",54
"PP_Lomaka_40_Miconia AEC-285","MDP0350","MDP0350.mzXML","mic1AEC285","PP_Lomaka_40","Miconia AEC-285","Melastomataceae","Miconia","PP_Lomaka_40_Miconia AEC-285",NA,NA,NA
"PP_Lomaka_40_Eschweilera coriacea","MDP0319","MDP0319.mzXML","esc2cor","PP_Lomaka_40","Eschweilera coriacea","Lecythidaceae","Eschweilera","PP_Lomaka_40_Eschweilera coriacea","PP_Lomaka_40","Eschweilera coriacea",7
"PP_Lomaka_40_Rhodostemonodaphne longiflora","MDP0392","MDP0392.mzXML","rholon","PP_Lomaka_40","Rhodostemonodaphne longiflora","Lauraceae","Rhodostemonodaphne","PP_Lomaka_40_Rhodostemonodaphne longiflora","PP_Lomaka_40","Rhodostemonodaphne longiflora",0
"PP_Lomaka_40_Aniba AEC-243","MDP0305","MDP0305.mzXML","aniAEC243","PP_Lomaka_40","Aniba AEC-243","Lauraceae","Aniba","PP_Lomaka_40_Aniba AEC-243",NA,NA,NA
"PP_Lomaka_40_Protium AF-4603","MDP0384","MDP0384.mzXML","pro2AF4603","PP_Lomaka_40","Protium AF-4603","Burseraceae","Protium","PP_Lomaka_40_Protium AF-4603",NA,NA,NA
"PP_Lomaka_40_Joosia sericea","MDP0342","MDP0342.mzXML","jooser","PP_Lomaka_40","Joosia sericea","Rubiaceae","Joosia","PP_Lomaka_40_Joosia sericea","PP_Lomaka_40","Joosia sericea",3
"PP_Lomaka_40_Protium AEC-227","MDP0383","MDP0383.mzXML","pro2AEC227","PP_Lomaka_40","Protium AEC-227","Burseraceae","Protium","PP_Lomaka_40_Protium AEC-227",NA,NA,NA
"PP_Lomaka_40_Pleurothyrium trianae","MDP0374","MDP0374.mzXML","ple3tri","PP_Lomaka_40","Pleurothyrium trianae","Lauraceae","Pleurothyrium","PP_Lomaka_40_Pleurothyrium trianae","PP_Lomaka_40","Pleurothyrium trianae",15
"PP_Lomaka_40_Miconia AF-17127","MDP0351","MDP0351.mzXML","mic1AF17127","PP_Lomaka_40","Miconia AF-17127","Melastomataceae","Miconia","PP_Lomaka_40_Miconia AF-17127",NA,NA,NA
"PP_Lomaka_40_Perebea guianensis","MDP0373","MDP0373.mzXML","per2gui","PP_Lomaka_40","Perebea guianensis","Moraceae","Perebea","PP_Lomaka_40_Perebea guianensis","PP_Lomaka_40","Perebea guianensis",26
"PP_Lomaka_40_Guarea kunthiana","MDP0326","MDP0326.mzXML","gua3kun","PP_Lomaka_40","Guarea kunthiana","Meliaceae","Guarea","PP_Lomaka_40_Guarea kunthiana","PP_Lomaka_40","Guarea kunthiana",1
"PP_Lomaka_40_Protium montanum","MDP0385","MDP0385.mzXML","pro2mon","PP_Lomaka_40","Protium montanum","Burseraceae","Protium","PP_Lomaka_40_Protium montanum","PP_Lomaka_40","Protium montanum",4
"PP_Lomaka_40_Parkia nitida","MDP0372","MDP0372.mzXML","par5nit","PP_Lomaka_40","Parkia nitida","Fabaceae","Parkia","PP_Lomaka_40_Parkia nitida","PP_Lomaka_40","Parkia nitida",3
"PP_Lomaka_40_Tapirira guianensis","MDP0406","MDP0406.mzXML","tap1gui","PP_Lomaka_40","Tapirira guianensis","Anacardiaceae","Tapirira","PP_Lomaka_40_Tapirira guianensis","PP_Lomaka_40","Tapirira guianensis",28
"PP_Lomaka_40_Palicourea conephoroides","MDP0370","MDP0370.mzXML","palcon","PP_Lomaka_40","Palicourea conephoroides","Rubiaceae","Palicourea","PP_Lomaka_40_Palicourea conephoroides","PP_Lomaka_40","Palicourea conephoroides",5
"PP_Lomaka_40_Ixora LC-6464","MDP0341","MDP0341.mzXML","ixoLC6464","PP_Lomaka_40","Ixora LC-6464","Rubiaceae","Ixora","PP_Lomaka_40_Ixora LC-6464",NA,NA,NA
"PP_Lomaka_40_Myrcia fallax","MDP0360","MDP0360.mzXML","myr2fal","PP_Lomaka_40","Myrcia fallax","Myrtaceae","Myrcia","PP_Lomaka_40_Myrcia fallax","PP_Lomaka_40","Myrcia fallax",11
"PP_Lomaka_40_Brosimum guianense","MDP0310","MDP0310.mzXML","bro2gui","PP_Lomaka_40","Brosimum guianense","Moraceae","Brosimum","PP_Lomaka_40_Brosimum guianense","PP_Lomaka_40","Brosimum guianense",3
"PP_Lomaka_40_Pourouma bicolor","MDP0375","MDP0375.mzXML","pou2bic","PP_Lomaka_40","Pourouma bicolor","Urticaceae","Pourouma","PP_Lomaka_40_Pourouma bicolor","PP_Lomaka_40","Pourouma bicolor",2
"PP_Lomaka_40_Tachigali alba","MDP0405","MDP0405.mzXML","tac2alb","PP_Lomaka_40","Tachigali alba","Fabaceae","Tachigali","PP_Lomaka_40_Tachigali alba","PP_Lomaka_40","Tachigali alba",1
"PP_Lomaka_40_Pouteria bilocularis","MDP0378","MDP0378.mzXML","pou3bil","PP_Lomaka_40","Pouteria bilocularis","Sapotaceae","Pouteria","PP_Lomaka_40_Pouteria bilocularis","PP_Lomaka_40","Pouteria bilocularis",1
"PP_Lomaka_40_Ocotea ALM-63","MDP0367","MDP0367.mzXML","ocoALM63","PP_Lomaka_40","Ocotea ALM-63","Lauraceae","Ocotea","PP_Lomaka_40_Ocotea ALM-63",NA,NA,NA
"PP_Lomaka_40_Stryphnodendron guianense","MDP0403","MDP0403.mzXML","str3gui","PP_Lomaka_40","Stryphnodendron guianense","Fabaceae","Stryphnodendron","PP_Lomaka_40_Stryphnodendron guianense","PP_Lomaka_40","Stryphnodendron guianense",4
"PP_Lomaka_40_Terminalia tetraphylla","MDP0407","MDP0407.mzXML","ter1tet","PP_Lomaka_40","Terminalia tetraphylla","Combretaceae","Terminalia","PP_Lomaka_40_Terminalia tetraphylla","PP_Lomaka_40","Terminalia tetraphylla",2
"PP_Lomaka_40_Psychotria AEC-305","MDP0390","MDP0390.mzXML","psy2AEC305","PP_Lomaka_40","Psychotria AEC-305","Rubiaceae","Psychotria","PP_Lomaka_40_Psychotria AEC-305",NA,NA,NA
"PP_Lomaka_40_Pseudolmedia laevigata","MDP0387","MDP0387.mzXML","pse2lae1","PP_Lomaka_40","Pseudolmedia laevigata","Moraceae","Pseudolmedia","PP_Lomaka_40_Pseudolmedia laevigata","PP_Lomaka_40","Pseudolmedia laevigata",5
"PP_Lomaka_40_Miconia CMG-2345","MDP0356","MDP0356.mzXML","mic1CMG2345","PP_Lomaka_40","Miconia CMG-2345","Melastomataceae","Miconia","PP_Lomaka_40_Miconia CMG-2345",NA,NA,NA
"PP_Lomaka_40_Pouteria torta","MDP0382","MDP0382.mzXML","pou3tor","PP_Lomaka_40","Pouteria torta","Sapotaceae","Pouteria","PP_Lomaka_40_Pouteria torta","PP_Lomaka_40","Pouteria torta",4
"PP_Lomaka_40_Myrcia sintenisii","MDP0361","MDP0361.mzXML","myr2sin","PP_Lomaka_40","Myrcia sintenisii","Myrtaceae","Myrcia","PP_Lomaka_40_Myrcia sintenisii","PP_Lomaka_40","Myrcia sintenisii",4
"PP_Lomaka_40_Casearia arborea","MDP0314","MDP0314.mzXML","casarb","PP_Lomaka_40","Casearia arborea","Salicaceae","Casearia","PP_Lomaka_40_Casearia arborea","PP_Lomaka_40","Casearia arborea",0
"PP_Lomaka_40_Garcinia macrophylla","MDP0323","MDP0323.mzXML","garmac","PP_Lomaka_40","Garcinia macrophylla","Clusiaceae","Garcinia","PP_Lomaka_40_Garcinia macrophylla","PP_Lomaka_40","Garcinia macrophylla",7
"PP_Lomaka_40_Neea LC-2607","MDP0364","MDP0364.mzXML","neeLC2607","PP_Lomaka_40","Neea LC-2607","Nyctaginaceae","Neea","PP_Lomaka_40_Neea LC-2607",NA,NA,NA
"PP_Lomaka_40_Alchornea glandulosa","MDP0304","MDP0304.mzXML","alcgla","PP_Lomaka_40","Alchornea glandulosa","Euphorbiaceae","Alchornea","PP_Lomaka_40_Alchornea glandulosa","PP_Lomaka_40","Alchornea glandulosa",15
"PP_Lomaka_40_Pseudolmedia macrophylla","MDP0389","MDP0389.mzXML","pse2mac","PP_Lomaka_40","Pseudolmedia macrophylla","Moraceae","Pseudolmedia","PP_Lomaka_40_Pseudolmedia macrophylla","PP_Lomaka_40","Pseudolmedia macrophylla",8
"PP_Lomaka_40_Virola AEC-312","MDP0410","MDP0410.mzXML","virAEC312","PP_Lomaka_40","Virola AEC-312","Myristicaceae","Virola","PP_Lomaka_40_Virola AEC-312",NA,NA,NA
"PP_Lomaka_40_Guarea macrophylla","MDP0327","MDP0327.mzXML","gua3mac","PP_Lomaka_40","Guarea macrophylla","Meliaceae","Guarea","PP_Lomaka_40_Guarea macrophylla","PP_Lomaka_40","Guarea macrophylla",1
"PP_Lomaka_40_Hieronyma NA-445","MDP0333","MDP0333.mzXML","hieNA445","PP_Lomaka_40","Hieronyma NA-445","Phyllanthaceae","Hieronyma","PP_Lomaka_40_Hieronyma NA-445",NA,NA,NA
"PP_Lomaka_40_Licania micrantha","MDP0345","MDP0345.mzXML","lic1mic","PP_Lomaka_40","Licania micrantha","Chrysobalanaceae","Licania","PP_Lomaka_40_Licania micrantha","PP_Lomaka_40","Licania micrantha",5
"PP_Lomaka_40_Sloanea tuerckheimii","MDP0401","MDP0401.mzXML","slotue","PP_Lomaka_40","Sloanea tuerckheimii","Elaeocarpaceae","Sloanea","PP_Lomaka_40_Sloanea tuerckheimii","PP_Lomaka_40","Sloanea tuerckheimii",11
"PP_Lomaka_40_Pseudolmedia laevis","MDP0388","MDP0388.mzXML","pse2lae2","PP_Lomaka_40","Pseudolmedia laevis","Moraceae","Pseudolmedia","PP_Lomaka_40_Pseudolmedia laevis","PP_Lomaka_40","Pseudolmedia laevis",1
"PP_Lomaka_40_Licania boliviensis","MDP0344","MDP0344.mzXML","lic1bol","PP_Lomaka_40","Licania boliviensis","Chrysobalanaceae","Licania","PP_Lomaka_40_Licania boliviensis","PP_Lomaka_40","Licania boliviensis",6
"PP_Lomaka_40_Pouteria LC-6325","MDP0381","MDP0381.mzXML","pou3LC6325","PP_Lomaka_40","Pouteria LC-6325","Sapotaceae","Pouteria","PP_Lomaka_40_Pouteria LC-6325",NA,NA,NA
"PP_Lomaka_40_Faramea LC-6412","MDP0322","MDP0322.mzXML","farLC6412","PP_Lomaka_40","Faramea LC-6412","Rubiaceae","Faramea","PP_Lomaka_40_Faramea LC-6412",NA,NA,NA
"PP_Lomaka_40_Aspidosperma rigidum","MDP0308","MDP0308.mzXML","asp1rig","PP_Lomaka_40","Aspidosperma rigidum","Apocynaceae","Aspidosperma","PP_Lomaka_40_Aspidosperma rigidum","PP_Lomaka_40","Aspidosperma rigidum",11
"PP_Lomaka_40_Mollinedia ovata","MDP0358","MDP0358.mzXML","molova","PP_Lomaka_40","Mollinedia ovata","Monimiaceae","Mollinedia","PP_Lomaka_40_Mollinedia ovata","PP_Lomaka_40","Mollinedia ovata",5
"PP_Lomaka_40_Byrsonima arthropoda","MDP0312","MDP0312.mzXML","byrart","PP_Lomaka_40","Byrsonima arthropoda","Malpighiaceae","Byrsonima","PP_Lomaka_40_Byrsonima arthropoda","PP_Lomaka_40","Byrsonima arthropoda",1
"PP_Lomaka_40_Sloanea pubescens","MDP0400","MDP0400.mzXML","slopub","PP_Lomaka_40","Sloanea pubescens","Elaeocarpaceae","Sloanea","PP_Lomaka_40_Sloanea pubescens","PP_Lomaka_40","Sloanea pubescens",8
"PP_Lomaka_40_Calophyllum brasiliense","MDP0313","MDP0313.mzXML","cal5bra","PP_Lomaka_40","Calophyllum brasiliense","Calophyllaceae","Calophyllum","PP_Lomaka_40_Calophyllum brasiliense","PP_Lomaka_40","Calophyllum brasiliense",1
"PP_Lomaka_40_Ocotea LC-6389","MDP0368","MDP0368.mzXML","ocoLC6389","PP_Lomaka_40","Ocotea LC-6389","Lauraceae","Ocotea","PP_Lomaka_40_Ocotea LC-6389",NA,NA,NA
"PP_Lomaka_40_Ladenbergia oblongifolia","MDP0343","MDP0343.mzXML","ladobl","PP_Lomaka_40","Ladenbergia oblongifolia","Rubiaceae","Ladenbergia","PP_Lomaka_40_Ladenbergia oblongifolia","PP_Lomaka_40","Ladenbergia oblongifolia",0
"PP_Lomaka_40_Eugenia LC-6317","MDP0320","MDP0320.mzXML","eugLC6317","PP_Lomaka_40","Eugenia LC-6317","Myrtaceae","Eugenia","PP_Lomaka_40_Eugenia LC-6317",NA,NA,NA
"PP_Lomaka_40_Ocotea AEC-335","MDP0366","MDP0366.mzXML","ocoAEC335","PP_Lomaka_40","Ocotea AEC-335","Lauraceae","Ocotea","PP_Lomaka_40_Ocotea AEC-335",NA,NA,NA
"PP_Lomaka_40_Geissanthus ambigua","MDP0324","MDP0324.mzXML","geiamb","PP_Lomaka_40","Geissanthus ambigua","Primulaceae","Geissanthus","PP_Lomaka_40_Geissanthus ambigua","PP_Lomaka_40","Geissanthus ambigua",1
"PP_Lomaka_40_Buchenavia oxycarpa","MDP0311","MDP0311.mzXML","bucoxy","PP_Lomaka_40","Buchenavia oxycarpa","Combretaceae","Buchenavia","PP_Lomaka_40_Buchenavia oxycarpa","PP_Lomaka_40","Buchenavia oxycarpa",2
"PP_Lomaka_40_Magnolia madidiensis","MDP0347","MDP0347.mzXML","mag1mad","PP_Lomaka_40","Magnolia madidiensis","Magnoliaceae","Magnolia","PP_Lomaka_40_Magnolia madidiensis","PP_Lomaka_40","Magnolia madidiensis",1
"PP_Lomaka_40_Simarouba amara","MDP0395","MDP0395.mzXML","sim1ama","PP_Lomaka_40","Simarouba amara","Simaroubaceae","Simarouba","PP_Lomaka_40_Simarouba amara","PP_Lomaka_40","Simarouba amara",4
"PP_Lomaka_40_Roucheria laxiflora","MDP0393","MDP0393.mzXML","rou1lax","PP_Lomaka_40","Roucheria laxiflora","Linaceae","Roucheria","PP_Lomaka_40_Roucheria laxiflora","PP_Lomaka_40","Roucheria laxiflora",4
"PP_Lomaka_40_Sloanea grandiflora","MDP0399","MDP0399.mzXML","slogra","PP_Lomaka_40","Sloanea grandiflora","Elaeocarpaceae","Sloanea","PP_Lomaka_40_Sloanea grandiflora","PP_Lomaka_40","Sloanea grandiflora",19
"PP_Lomaka_40_Aniba guianensis","MDP0306","MDP0306.mzXML","anigui","PP_Lomaka_40","Aniba guianensis","Lauraceae","Aniba","PP_Lomaka_40_Aniba guianensis","PP_Lomaka_40","Aniba guianensis",1
"PP_Lomaka_40_Endlicheria szyszylowiczii","MDP0318","MDP0318.mzXML","endszy","PP_Lomaka_40","Endlicheria szyszylowiczii","Lauraceae","Endlicheria","PP_Lomaka_40_Endlicheria szyszylowiczii","PP_Lomaka_40","Endlicheria szyszylowiczii",3
"PP_Lomaka_40_Siparuna bifida","MDP0396","MDP0396.mzXML","sip1bif","PP_Lomaka_40","Siparuna bifida","Siparunaceae","Siparuna","PP_Lomaka_40_Siparuna bifida","PP_Lomaka_40","Siparuna bifida",7
"PP_Lomaka_40_Nectandra JCS-9565","MDP0362","MDP0362.mzXML","necJCS9565","PP_Lomaka_40","Nectandra JCS-9565","Lauraceae","Nectandra","PP_Lomaka_40_Nectandra JCS-9565",NA,NA,NA
"PP_Lomaka_40_Inga capitata","MDP0337","MDP0337.mzXML","ingcap","PP_Lomaka_40","Inga capitata","Fabaceae","Inga","PP_Lomaka_40_Inga capitata","PP_Lomaka_40","Inga capitata",1
"PP_Lomaka_40_Heisteria nitida","MDP0329","MDP0329.mzXML","heinit","PP_Lomaka_40","Heisteria nitida","Olacaceae","Heisteria","PP_Lomaka_40_Heisteria nitida","PP_Lomaka_40","Heisteria nitida",1
"PP_Lomaka_40_Siparuna guianensis","MDP0397","MDP0397.mzXML","sip1gui","PP_Lomaka_40","Siparuna guianensis","Siparunaceae","Siparuna","PP_Lomaka_40_Siparuna guianensis","PP_Lomaka_40","Siparuna guianensis",1
"PP_Lomaka_40_Unonopsis floribunda","MDP0409","MDP0409.mzXML","unoflo","PP_Lomaka_40","Unonopsis floribunda","Annonaceae","Unonopsis","PP_Lomaka_40_Unonopsis floribunda","PP_Lomaka_40","Unonopsis floribunda",1
"PP_Lomaka_40_Pouteria AEC-357","MDP0376","MDP0376.mzXML","pou3AEC357","PP_Lomaka_40","Pouteria AEC-357","Sapotaceae","Pouteria","PP_Lomaka_40_Pouteria AEC-357",NA,NA,NA
"PP_Lomaka_40_Tovomita micrantha","MDP0408","MDP0408.mzXML","tovmic","PP_Lomaka_40","Tovomita micrantha","Clusiaceae","Tovomita","PP_Lomaka_40_Tovomita micrantha","PP_Lomaka_40","Tovomita micrantha",3
"PP_Lomaka_40_Vochysia kosnipatae","MDP0412","MDP0412.mzXML","vockos","PP_Lomaka_40","Vochysia kosnipatae","Vochysiaceae","Vochysia","PP_Lomaka_40_Vochysia kosnipatae","PP_Lomaka_40","Vochysia kosnipatae",10
"PP_Lomaka_40_Neea AF-11752","MDP0363","MDP0363.mzXML","neeAF11752","PP_Lomaka_40","Neea AF-11752","Nyctaginaceae","Neea","PP_Lomaka_40_Neea AF-11752",NA,NA,NA
"PP_Lomaka_40_Sloanea fendleriana","MDP0398","MDP0398.mzXML","slofen","PP_Lomaka_40","Sloanea fendleriana","Elaeocarpaceae","Sloanea","PP_Lomaka_40_Sloanea fendleriana","PP_Lomaka_40","Sloanea fendleriana",4
"PP_Lomaka_40_Solanum aphyodendron","MDP0402","MDP0402.mzXML","solaph","PP_Lomaka_40","Solanum aphyodendron","Solanaceae","Solanum","PP_Lomaka_40_Solanum aphyodendron","PP_Lomaka_40","Solanum aphyodendron",1
"PP_Lomaka_40_Ilex petiolaris","MDP0335","MDP0335.mzXML","ilepet","PP_Lomaka_40","Ilex petiolaris","Aquifoliaceae","Ilex","PP_Lomaka_40_Ilex petiolaris","PP_Lomaka_40","Ilex petiolaris",0
"PP_Lomaka_40_Ocotea aciphylla","MDP0365","MDP0365.mzXML","ocoaci","PP_Lomaka_40","Ocotea aciphylla","Lauraceae","Ocotea","PP_Lomaka_40_Ocotea aciphylla","PP_Lomaka_40","Ocotea aciphylla",4
"PP_Lomaka_40_Virola peruviana","MDP0411","MDP0411.mzXML","virper","PP_Lomaka_40","Virola peruviana","Myristicaceae","Virola","PP_Lomaka_40_Virola peruviana","PP_Lomaka_40","Virola peruviana",8
"PP_Lomaka_40_Marila laxiflora","MDP0348","MDP0348.mzXML","mar5lax","PP_Lomaka_40","Marila laxiflora","Calophyllaceae","Marila","PP_Lomaka_40_Marila laxiflora","PP_Lomaka_40","Marila laxiflora",1
"PP_Lomaka_40_Palicourea tinctoria","MDP0371","MDP0371.mzXML","paltin","PP_Lomaka_40","Palicourea tinctoria","Rubiaceae","Palicourea","PP_Lomaka_40_Palicourea tinctoria","PP_Lomaka_40","Palicourea tinctoria",1
"PP_Lomaka_40_Pouteria baehniana","MDP0377","MDP0377.mzXML","pou3bae","PP_Lomaka_40","Pouteria baehniana","Sapotaceae","Pouteria","PP_Lomaka_40_Pouteria baehniana","PP_Lomaka_40","Pouteria baehniana",6
"PP_Lomaka_40_Annona RSS-85","MDP0307","MDP0307.mzXML","annRSS85","PP_Lomaka_40","Annona RSS-85","Annonaceae","Annona","PP_Lomaka_40_Annona RSS-85",NA,NA,NA
"PP_Lomaka_40_Prunus amplifolia","MDP0386","MDP0386.mzXML","pru2amp","PP_Lomaka_40","Prunus amplifolia","Rosaceae","Prunus","PP_Lomaka_40_Prunus amplifolia","PP_Lomaka_40","Prunus amplifolia",3
"PP_Lomaka_40_Rauvolfia leptophylla","MDP0391","MDP0391.mzXML","rau2lep","PP_Lomaka_40","Rauvolfia leptophylla","Apocynaceae","Rauvolfia","PP_Lomaka_40_Rauvolfia leptophylla","PP_Lomaka_40","Rauvolfia leptophylla",5
"PP_Lomaka_40_Symphonia globulifera","MDP0404","MDP0404.mzXML","sym1glo","PP_Lomaka_40","Symphonia globulifera","Clusiaceae","Symphonia","PP_Lomaka_40_Symphonia globulifera","PP_Lomaka_40","Symphonia globulifera",48
"PP_Lomaka_40_Ocotea puberula","MDP0369","MDP0369.mzXML","ocopub","PP_Lomaka_40","Ocotea puberula","Lauraceae","Ocotea","PP_Lomaka_40_Ocotea puberula","PP_Lomaka_40","Ocotea puberula",5
"PP_Lomasa_39_Eschweilera coriacea","MDP0723","MDP0723.mzXML","esc2cor","PP_Lomasa_39","Eschweilera coriacea","Lecythidaceae","Eschweilera","PP_Lomasa_39_Eschweilera coriacea","PP_Lomasa_39","Eschweilera coriacea",2
"PP_Lomasa_39_Preslianthus pittieri","MDP0768","MDP0768.mzXML","pre1pit","PP_Lomasa_39","Preslianthus pittieri","Capparaceae","Preslianthus","PP_Lomasa_39_Preslianthus pittieri","PP_Lomasa_39","Preslianthus pittieri",1
"PP_Lomasa_39_Schizocalyx obovatus","MDP0772","MDP0772.mzXML","sch4obo","PP_Lomasa_39","Schizocalyx obovatus","Rubiaceae","Schizocalyx","PP_Lomasa_39_Schizocalyx obovatus","PP_Lomasa_39","Schizocalyx obovatus",2
"PP_Lomasa_39_Inga alba","MDP0735","MDP0735.mzXML","ingalb","PP_Lomasa_39","Inga alba","Fabaceae","Inga","PP_Lomasa_39_Inga alba","PP_Lomasa_39","Inga alba",4
"PP_Lomasa_39_Myrcia sintenisii","MDP0749","MDP0749.mzXML","myr2sin","PP_Lomasa_39","Myrcia sintenisii","Myrtaceae","Myrcia","PP_Lomasa_39_Myrcia sintenisii","PP_Lomasa_39","Myrcia sintenisii",3
"PP_Lomasa_39_Miconia dolichorrhyncha","MDP0744","MDP0744.mzXML","mic1dol","PP_Lomasa_39","Miconia dolichorrhyncha","Melastomataceae","Miconia","PP_Lomasa_39_Miconia dolichorrhyncha","PP_Lomasa_39","Miconia dolichorrhyncha",20
"PP_Lomasa_39_Hirtella LC-6215","MDP0732","MDP0732.mzXML","hir2LC6215","PP_Lomasa_39","Hirtella LC-6215","Chrysobalanaceae","Hirtella","PP_Lomasa_39_Hirtella LC-6215",NA,NA,NA
"PP_Lomasa_39_Helicostylis tomentosa","MDP0729","MDP0729.mzXML","hel2tom","PP_Lomasa_39","Helicostylis tomentosa","Moraceae","Helicostylis","PP_Lomasa_39_Helicostylis tomentosa","PP_Lomasa_39","Helicostylis tomentosa",25
"PP_Lomasa_39_Byrsonima arthropoda","MDP0709","MDP0709.mzXML","byrart","PP_Lomasa_39","Byrsonima arthropoda","Malpighiaceae","Byrsonima","PP_Lomasa_39_Byrsonima arthropoda","PP_Lomasa_39","Byrsonima arthropoda",0
"PP_Lomasa_39_Dacryodes sudyungasensis","MDP0716","MDP0716.mzXML","dacsud","PP_Lomasa_39","Dacryodes sudyungasensis","Burseraceae","Dacryodes","PP_Lomasa_39_Dacryodes sudyungasensis","PP_Lomasa_39","Dacryodes sudyungasensis",2
"PP_Lomasa_39_Podocarpus celatus","MDP0763","MDP0763.mzXML","podcel","PP_Lomasa_39","Podocarpus celatus","Podocarpaceae","Podocarpus","PP_Lomasa_39_Podocarpus celatus","PP_Lomasa_39","Podocarpus celatus",2
"PP_Lomasa_39_Sloanea pubescens","MDP0775","MDP0775.mzXML","slopub","PP_Lomasa_39","Sloanea pubescens","Elaeocarpaceae","Sloanea","PP_Lomasa_39_Sloanea pubescens","PP_Lomasa_39","Sloanea pubescens",76
